  title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      935366.100;      977908.200;      938000.917;        7690.417 ( 0.820 %);     81.337
       IKJ;         234.375;           0.229;           0.000;        100;         20;      644420.950;      693135.550;      662738.545;        7709.088 ( 1.163 %);    115.119
       IEX;         234.375;           0.229;           0.000;        100;         20;      647270.350;      674283.100;      649050.632;        5039.060 ( 0.776 %);    117.547
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      481262.350;      513375.650;      483740.636;        5733.237 ( 1.185 %);    157.717
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54435.500;       67496.600;       56727.574;        3341.362 ( 5.890 %);   1344.918

 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      930736.200;      970033.250;      933372.389;        6997.964 ( 0.750 %);     81.740
       IKJ;         234.375;           0.229;           0.000;        100;         20;      647187.650;      668082.900;      649414.939;        4515.828 ( 0.695 %);    117.481
       IEX;         234.375;           0.229;           0.000;        100;         20;      646367.350;      701581.800;      663787.152;        7640.739 ( 1.151 %);    114.937
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      481276.250;      506068.050;      484569.568;        5224.771 ( 1.078 %);    157.447
   UNROLL8;         234.375;           0.229;           0.000;        100;         20;      505508.850;      528220.250;      507835.241;        4711.907 ( 0.928 %);    150.234
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54385.750;       67803.000;       56360.764;        2927.253 ( 5.194 %);   1353.671
