 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      935427.950;      974768.100;      937645.608;        6880.968 ( 0.734 %);     81.368
       IKJ;         234.375;           0.229;           0.000;        100;         20;      232608.050;      264639.750;      234683.921;        5776.749 ( 2.462 %);    325.092
       IEX;         234.375;           0.229;           0.000;        100;         20;      303632.600;      359799.650;      306683.758;       10005.540 ( 3.262 %);    248.771
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      288150.500;      310315.700;      290020.111;        4452.916 ( 1.535 %);    263.064
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54574.650;       71871.950;       56268.780;        3269.075 ( 5.810 %);   1355.884




  title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         20;      930633.950;      966799.500;      933037.227;        6342.651 ( 0.680 %);     81.769
       IKJ;         234.375;           0.229;           0.000;        100;         20;      304193.150;      339338.750;      308261.292;        9087.418 ( 2.948 %);    247.498
       IEX;         234.375;           0.229;           0.000;        100;         20;      232578.600;      253669.200;      234130.117;        4016.773 ( 1.716 %);    325.861
    UNROLL;         234.375;           0.229;           0.000;        100;         20;      291288.250;      333164.350;      294442.558;        8786.548 ( 2.984 %);    259.113
   UNROLL8;         234.375;           0.229;           0.000;        100;         20;      284291.250;      309185.100;      287073.842;        4337.521 ( 1.511 %);    265.764
     CBLAS;         234.375;           0.229;           0.000;        100;         20;       54529.850;       68166.750;       56333.714;        3147.457 ( 5.587 %);   1354.321
